#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2670.0000000009477,-437.4844395432255,2414.3909243648463,756.2095897581883,66.2
2675.000000000966,-448.5766032858928,3240.0900233760563,1014.8261918278114,66.2
2680.000000000984,-495.1677343134375,2145.2427203680886,671.9098805128496,66.2
2685.0000000010023,-464.73971305611707,2951.0849485263375,924.3071267979286,66.2
2690.0000000010205,-512.6922200962063,2584.6658085287877,809.5412598702317,66.2
2695.0000000010386,-461.0027936328595,2047.5359658565362,641.3072204381467,66.2
2700.000000001057,-483.9833314943684,1823.3605952484302,571.0934189651966,66.2
2705.000000001075,-494.77704306144386,2879.5140490203826,901.890458474732,66.2
2710.000000001093,-429.13677156442634,7379.373175453569,2311.287996226355,66.2
2715.0000000011114,-464.96272398590565,10881.283176694957,3408.118629030984,66.2
2720.0000000011296,-307.67798065462136,17823.572784205197,5582.508005291137,66.2
2725.000000001148,-367.350770324841,20849.588728514886,6530.284213673857,66.2
2730.000000001166,-423.3339305002641,17978.039187584844,5630.888312867829,66.2
2735.000000001184,-318.3151766168835,14535.954971958592,4552.795669980424,66.2
2740.0000000012024,-365.83159374954573,9700.414288149666,3038.2595607444514,66.2
2745.0000000012205,-425.54681183049547,6912.073445495086,2164.9253945780824,66.2
2750.0000000012387,-475.5080094284684,5171.134172878273,1619.6470969114298,66.2
2755.000000001257,-493.157737390419,4127.95635970537,1292.9141481650083,66.2
2760.000000001275,-494.04708338162084,4192.838535869424,1313.2358464138308,66.2
2765.0000000012933,-436.78085297754706,4991.032022461996,1563.2374360290735,66.2
2770.0000000013115,-468.46671792724106,5088.19135490967,1593.6686384453778,66.2
2775.0000000013297,-494.69702908019735,7648.878505545029,2395.699560670801,66.2
2780.000000001348,-466.74576266489413,15441.276031772495,4836.350607307493,66.2
2785.000000001366,-503.4516961898816,17390.079282206436,5446.73382721533,66.2
2790.0000000013843,-393.42196055760564,17571.057788299335,5503.4179708088395,66.2
2795.0000000014024,-415.8189530430464,18952.242745427022,5936.0178862862695,66.2
2800.0000000014206,-363.1977897273513,17536.852649734225,5492.704604741682,66.2
2805.000000001439,-440.35363537117416,16258.570379934621,5092.334763600641,66.2
2810.000000001457,-461.29747924034524,11565.633764844926,3622.463568905128,66.2
2815.000000001475,-452.44896624179864,7673.5200352335005,2403.417515898633,66.2
2820.0000000014934,-460.1055400136589,6014.544989137271,1883.8111727967882,66.2
2825.0000000015116,-509.94375406181393,4128.820835957189,1293.1849101303333,66.2
2830.0000000015298,-455.76122415103396,4270.138514537615,1337.446915370018,66.2
2835.000000001548,-551.3767533257006,7212.00211950376,2258.8658319943984,66.2
2840.000000001566,-615.2805917395614,4340.983082406035,1359.6360899000153,66.2
2845.0000000015843,-606.1010147394397,3819.7965019968706,1196.395627810236,66.2
2850.0000000016025,-605.3624040604104,3471.620005545463,1087.343525730194,66.2
2855.0000000016207,-643.8811551924623,3713.5088541899972,1163.1053525141826,66.2
2860.000000001639,-575.1322606873761,4319.518720350981,1352.913252988945,66.2
2865.000000001657,-591.954581422686,4987.496097345635,1562.129951547304,66.2
2870.0000000016753,-592.5608012894409,6854.324340832619,2146.8378403609895,66.2
2875.0000000016935,-605.3159636492604,6169.725756998539,1932.4152259426562,66.2
2880.0000000017117,-684.1107281351279,4662.645640447382,1460.3837810060058,66.2
2885.00000000173,-607.1651907537446,5105.183665725979,1598.9907875065642,66.2
2890.000000001748,-680.950641401471,5024.742209771039,1573.79577878061,66.2
2895.0000000017662,-706.1334320720116,6322.482226383724,1980.2599663618446,66.2
2900.0000000017844,-645.7706273891501,4555.38703278544,1426.789392094273,66.2
2905.0000000018026,-713.1172704483996,3050.554585489159,955.4619379770002,66.2
2910.000000001821,-796.7986930493826,2816.407951381984,882.1250444629445,66.2
2915.000000001839,-743.2944132845782,3976.274595580881,1245.4060153830094,66.2
